"title_es","title_en","id","category_id","company_id","area_id","account_id","for_sale","end_at","sale_price","for_rent","rent_price","is_rent_long_term","is_rent_short_term","is_rent_time_share","is_short_sale","is_repossessed","address1","postal_code","year_built","maintenance","maintenance_price","exemption","exemption_price","latitude","longitude","catastro","financing_rural","financing_fha","financing_conventional","financing_vivienda","financing_cash","financing_loan_with_repairs","financing_private","financing_assume_mortgage","status","bathrooms","rooms","sqf","sqm","internal_number","mls_number","co_number","cpr_number","zonification","internal_notes","showing_instructions","key_number","key_box","description_es","description_en","parkings","floors","extra","category_id"
",0,0,NULL,5
"Sabana Gardens","Sabana Gardens",164964,31,1,16,32758,1,20200420,180000.00,0,0.00,0,0,0,0,0,"","",0,"",0.00,"",0.00,18.41848594,-65.97321804,"064-055-470-02-001","","","","","","","","","PUBLISHED",0,0,0,0,"C-19-033","",4465049,"",NULL,"","LLAMAR AGENTE LISTADOR.","SI","","Propiedad comercial en concreto armado con un área de aprox. 3,012p2 en un solar de 302m2. Localizada en avenida de mucho tráfico. Ideal para oficinas médicas, abogados, taller de tapicería, ebanistería. Posee área de carga y descarga.  No pierda esta gran oportunidad. Dueño motivado a vender!!!","Propiedad comercial en concreto armado con un área de aprox. 3,012p2 en un solar de 302m2. Localizada en avenida de mucho tráfico. Ideal para oficinas médicas, abogados, taller de tapicería, ebanistería. Posee área de carga y descarga.  No pierda esta gran oportunidad. Dueño motivado a vender!!!",0,0,NULL,22
"Villa del Rey","Villa del Rey",164962,8,1,61,32751,1,20201106,89000.00,0,0.00,0,0,0,0,0,966,"00745",0,"",0.00,"",0.00,"","","","","","","","","","","","PUBLISHED",0,0,0,0,"05-19-239","",4463803,"",NULL,"","Llamar a Carlos Bran","","","La urbanización tiene control de acceso con 28 propiedades. Ubicada frente a la escuela Intermedia Carmen L. Feliciano y a 1 minuto de la carr #3. La urbanización está en excelentes condiciones. Muy conservada y tranquila. Un cuerda de terreno. \"PORQUE VENDEMOS TU PROPIEDAD EN TIEMPO RECORD\". Para ver ésta y más propiedades acceda: www.realityrealtypr.com.","La urbanización tiene control de acceso con 28 propiedades. Ubicada frente a la escuela Intermedia Carmen L. Feliciano y a 1 minuto de la carr #3. La urbanización está en excelentes condiciones. Muy conservada y tranquila. Un cuerda de terreno. \"PORQUE VENDEMOS TU PROPIEDAD EN TIEMPO RECORD\". Para ver ésta y más propiedades acceda: www.realityrealtypr.com.",0,0,NULL,16
"Reparto Metropolitano","Reparto Metropolitano",164961,32,1,65,14011,1,20200518,250000.00,0,0.00,0,0,0,0,0,"","",0,"",0.00,"",0.00,"","","","","","","","","","","","PUBLISHED",0,0,0,0,"C-19-035","",4462238,"",NULL,"","LLAMAR AGENTE LISTADOR. ","","","Hermosa propiedad comercial de aprox. 3,017p2 en solar de 254m2, con dos (2) unidades en excelentes condiciones, de dos (2) niveles, el primer nivel cuenta con espacios mas una oficina, dos (2) baños, marq. ext., espacio adicional para autos, patio en cemento. Segundo nivel está remodelada, area de recepción, salón de actividades, cocina, cinco (5) oficinas equipadas, dos (2) unidades de aire central, dos (2) mini splits, conección para calentador solar.  Cuatro (4) espacios de estacionamiento. Excelente localización, cerca de Centro Medico, al lado Centro Comercial de Repto. Metropolitano. Comunícate con Luz Acevedo al 787-519-5571 para mas información. 

","Hermosa propiedad comercial de aprox. 3,017p2 en solar de 254m2, con dos (2) unidades en excelentes condiciones, de dos (2) niveles, el primer nivel cuenta con espacios mas una oficina, dos (2) baños, marq. ext., espacio adicional para autos, patio en cemento. Segundo nivel está remodelada, area de recepción, salón de actividades, cocina, cinco (5) oficinas equipadas, dos (2) unidades de aire central, dos (2) mini splits, conección para calentador solar.  Cuatro (4) espacios de estacionamiento. Excelente localización, cerca de Centro Medico, al lado Centro Comercial de Repto. Metropolitano. Comunícate con Luz Acevedo al 787-519-5571 para mas información. 

",0,0,NULL,9
"Villa Carolina III","Villa Carolina III",164960,1,1,16,32648,1,20200523,166000.00,0,0.00,0,0,0,0,0,"35B","00985",0,"",0.00,"",0.00,18.39330,-65.95283,"088-038-639-30-001","","","","","","","","","PUBLISHED",2.5,3,0,0,"05-19-238","",4462892,"","","La viven Favor llamar a la lister antes de ir a mostrarla.","Llamar a Migdalia León ","","","Propiedad cul-d-sac de 3 habitaciones, 2.5 baños, marquesina extendida, cocina, family, terrazas en primer y segundo nivel. Además cuenta con (1) aire acondicionado, (3) abanicos, transfer switch y calentador. \"PORQUE VENDEMOS TU PROPIEDAD EN TIEMPO RECORD\". Para ver ésta y más propiedades acceda: www.realityrealtypr.com.","Propiedad cul-d-sac de 3 habitaciones, 2.5 baños, marquesina extendida, cocina, family, terrazas en primer y segundo nivel. Además cuenta con (1) aire acondicionado, (3) abanicos, transfer switch y calentador. \"PORQUE VENDEMOS TU PROPIEDAD EN TIEMPO RECORD\". Para ver ésta y más propiedades acceda: www.realityrealtypr.com.",0,0,NULL,1
"Cambridge Park, Rio Piedras","Cambridge Park, Rio Piedras",164959,1,1,81,30168,1,20200519,158000.00,0,0.00,0,0,0,1,0,"Chestnut Hills St. ","",0,"Y",0.00,"",0.00,18.3897,-66.0494,"087-043-018-04-001","","Y","","","","Y","N","N","PUBLISHED",2.5,4,0,0,"SS-05-19-237","",4463761,"","R","Se accesa a la propiedad por el lado izquierdo al llegar al patio una de las puertas de cristal esta abierta.","Llama a Milton Serrano ","","","Venta Short-Sale. Propiedad de 4 habitaciones, 3 baños, sala, comedor, family, cocina, master bedroom con walking closet, marquesina para dos vehículos y acceso controlado.  Propiedad requiere reparación.\"PORQUE VENDEMOS TU PROPIEDAD EN TIEMPO RECORD\". Para ver ésta y más propiedades acceda: www.realityrealtypr.com.","Venta Short-Sale. Propiedad de 4 habitaciones, 3 baños, sala, comedor, family, cocina, master bedroom con walking closet, marquesina para dos vehículos y acceso controlado.  Propiedad requiere reparación.\"PORQUE VENDEMOS TU PROPIEDAD EN TIEMPO RECORD\". Para ver ésta y más propiedades acceda: www.realityrealtypr.com.",0,0,NULL,1
"Urb. Villas de Castro","Urb. Villas de Castro",164957,1,1,13,13969,1,20200520,90000.00,0,0.00,0,0,0,0,0,900,"00725",0,"",0.00,"",0.00,"","","251-009-915-06-001","","","","","","","","Y","PUBLISHED",0,0,0,0,"01-19-048","",4460191,"",NULL,"","Llamar a Jaime DELGADO","","","¡Excelente oportunidad! Propiedad de esquina (duplex). 3 habitaciones, 1.5 baños. Areas de sala, comedor y cocina espaciosas; laundry, balcon, marquesina. 202m/c de solar aprox. Aprovecha, vea esta alternativa antes de tomar una decisión.

¡Aprovecha esta excelente oportunidad en bienes raíces en Puerto Rico! ¡Visítanos!
\"PORQUE VENDEMOS TU PROPIEDAD EN TIEMPO RECORD\". Para ver ésta y más propiedades acceda: www.realityrealtypr.com.
","¡Excelente oportunidad! Propiedad de esquina (duplex). 3 habitaciones, 1.5 baños. Areas de sala, comedor y cocina espaciosas; laundry, balcon, marquesina. 202m/c de solar aprox. Aprovecha, vea esta alternativa antes de tomar una decisión.

¡Aprovecha esta excelente oportunidad en bienes raíces en Puerto Rico! ¡Visítanos!
\"PORQUE VENDEMOS TU PROPIEDAD EN TIEMPO RECORD\". Para ver ésta y más propiedades acceda: www.realityrealtypr.com.
",0,0,NULL,1
"#787 CALLE 33SE URB. PUERTO NUEVO","#787 CALLE 33SE URB. PUERTO NUEVO",164950,4,1,65,32437,1,20191231,175000.00,0,0.00,0,0,0,0,0,"33SE","",0,"",0.00,"",0.00,18.4033899,66.078696,"086-008-195-09-001","","","","","","","","","PUBLISHED",NULL,NULL,NULL,NULL,"","",4444474,"",NULL,"","Oriéntese accesando reposubasta.com y/o llamar a Sra. Gini Pérez al (787) 418-3100","","",NULL,NULL,NULL,NULL,NULL,4
"CALLE AUSTRIA #409, URB. PUERTO NUEVO","CALLE AUSTRIA #409, URB. PUERTO NUEVO",164949,4,1,65,32437,1,20191231,189000.00,0,0.00,0,0,0,0,0,"AUSTRIA","",0,"",0.00,"",0.00,18.41245918,66.08105831,"062-077-073-11-001","","","","","","","","","PUBLISHED",NULL,NULL,NULL,NULL,"","",4444469,"",NULL,"","Oriéntese accesando reposubasta.com y/o llamar a Sra. Gini Pérez al (787) 418-3100","","",NULL,NULL,NULL,NULL,NULL,4
"BO. COLLORES CARR. 926 KM 1, SECTOR LA FERMIN","BO. COLLORES CARR. 926 KM 1, SECTOR LA FERMIN",164947,1,1,44,32437,1,20191231,115000.00,0,0.00,0,0,0,0,0,"SECTOR LA FERMINA","",0,"",0.00,"",0.00,18.181501,65.860199,"280-013-032-14-001","","","","","","","","","PUBLISHED",NULL,NULL,NULL,NULL,"","",4448632,"",NULL,"","Oriéntese accesando reposubasta.com y/o llamar a Sra. Gini Pérez al (787) 418-3100","","",NULL,NULL,NULL,NULL,NULL,1
"VILLA PALMERAS BO. SANTURCE SOLAR 316 CALLE L","VILLA PALMERAS BO. SANTURCE SOLAR 316 CALLE L",164946,1,1,65,32437,1,20191231,65000.00,0,0.00,0,0,0,0,0,"LAGUNA","",0,"",0.00,"",0.00,18.4419,66.0456,"79-041-073-393-11-998","","","","","","","","","PUBLISHED",NULL,NULL,NULL,NULL,"","",4448632,"",NULL,"","Oriéntese accesando reposubasta.com y/o llamar a Sra. Gini Pérez al (787) 418-3100","","",NULL,NULL,NULL,NULL,NULL,1
"EMBALSE DE SAN JOSE 459 CEUTA","EMBALSE DE SAN JOSE 459 CEUTA",164945,1,1,65,32437,1,20191231,95000.00,0,0.00,0,0,0,0,0,"EMBALSE DE SAN JOSE 459 CEUTA","",0,"",0.00,"",0.00,18.42292,66.03461," 79-063-035-370-02-000","","","","","","","","","PUBLISHED",NULL,NULL,NULL,NULL,"","",4444462,"",NULL,"","Oriéntese accesando reposubasta.com y/o llamar a Sra. Gini Pérez al (787) 418-3100","","",NULL,NULL,NULL,NULL,NULL,1
"BO. LAPA SECTOR RECIO 284 COMM. RURAL VAZQUEZ","BO. LAPA SECTOR RECIO 284 COMM. RURAL VAZQUEZ",164944,1,1,63,32437,1,20191231,75000.00,0,0.00,0,0,0,0,0,"SECTOR RECIO 284 COMM.RURAL VAZQUEZ","",0,"",0.00,"",0.00,18.06594,66.22912," 69-347-084-016-19-000","","","","","","","","","PUBLISHED",NULL,NULL,NULL,NULL,"","",4444456,"",NULL,"","Oriéntese accesando reposubasta.com y/o llamar a Sra. Gini Pérez al (787) 418-3100","","",NULL,NULL,NULL,NULL,NULL,1
"BO. BELGICA 3422 MIRASOL","BO. BELGICA 3422 MIRASOL",164943,1,1,58,32437,1,20191231,55000.00,0,0.00,0,0,0,0,0,"MIRASOL","",0,"",0.00,"",0.00,18.00794,66.6075,"","","","","","","","","","PUBLISHED",NULL,NULL,NULL,NULL,"","",4444455,"",NULL,"","Oriéntese accesando reposubasta.com y/o llamar a Sra. Gini Pérez al (787) 418-3100","","",NULL,NULL,NULL,NULL,NULL,1
"URB. SIERRA LINDA F-19 CALLE 2","URB. SIERRA LINDA F-19 CALLE 2",164942,4,1,11,32437,1,20191231,95000.00,0,0.00,0,0,0,0,0,2,"",0,"",0.00,"",0.00,18.38379,66.179421,"085-062-350-19-001","","","","","","","","","PUBLISHED",NULL,NULL,NULL,NULL,"","",4445845,"",NULL,"","Oriéntese accesando reposubasta.com y/o llamar a Sra. Gini Pérez al (787) 418-3100","","",NULL,NULL,NULL,NULL,NULL,4
"AE-29 TIJUANA STREET, VENUS GARDEN NORTE, SAB","AE-29 TIJUANA STREET, VENUS GARDEN NORTE, SAB",164941,1,1,65,32437,1,20191231,198000.00,0,0.00,0,0,0,0,0,"TIJUANA","",0,"",0.00,"",0.00,18.37571,66.03294,"087-095-103-35-001","","","","","","","","","PUBLISHED",NULL,NULL,NULL,NULL,"","",4444437,"",NULL,"","Oriéntese accesando reposubasta.com y/o llamar a Sra. Gini Pérez al (787) 418-3100","","",NULL,NULL,NULL,NULL,NULL,1
"Urb. University Gardens","Urb. University Gardens",164939,1,1,81,13980,0,20200514,0.00,1,800.00,1,0,0,0,0,"Georgetown","00920",0,"",0.00,"",0.00,"","","","","","","","","","","","PUBLISHED",0,0,0,0,"A-05-19-069","",1618460,"",NULL,"","Llamar a Alexis Rodriguez","",""," Propiedad con 3 habitaciones, 2 baños, laundry. \"PORQUE VENDEMOS TU PROPIEDAD EN TIEMPO RECORD\". Para ver ésta y más propiedades acceda: www.realityrealtypr.com.

"," Propiedad con 3 habitaciones, 2 baños, laundry. \"PORQUE VENDEMOS TU PROPIEDAD EN TIEMPO RECORD\". Para ver ésta y más propiedades acceda: www.realityrealtypr.com.

",0,0,NULL,1
"Magnolia Gardens","Magnolia Gardens",164938,1,1,11,32650,0,20200320,0.00,1,650.00,1,0,0,0,0,20,"",0,"",0.00,"",0.00,"","","","","","","","","","","","PUBLISHED",1,3,0,0,"A-05-19-070","",1618170,"","","","llamar a Milagros Betancourt","","","Residencia terrera de 3 habitaciones, 1 baÑo, family, marquesina doble. \"PORQUE VENDEMOS TU PROPIEDAD EN TIEMPO RECORD\". Para ver ésta y más propiedades acceda: www.realityrealtypr.com.","Residencia terrera de 3 habitaciones, 1 baÑo, family, marquesina doble. \"PORQUE VENDEMOS TU PROPIEDAD EN TIEMPO RECORD\". Para ver ésta y más propiedades acceda: www.realityrealtypr.com.",0,0,NULL,1
"BO. CANDELARIA, URB. COVADONGA 3-J-15 CALLE 1","BO. CANDELARIA, URB. COVADONGA 3-J-15 CALLE 1",164937,4,1,70,32437,1,20191231,227000.00,0,0.00,0,0,0,0,0,19,"",0,"",0.00,"",0.00,18.39861571,-66.20231158," 084-018-365-06-001","","","","","","","","","PUBLISHED",NULL,NULL,NULL,NULL,"UR-004","","","",NULL,"REPOSUBASTA NOVIEMBRE 23,2019","Oriéntese accesando reposubasta.com y/o llamar a Sra. Gini Pérez al (787) 418-3100","","",NULL,NULL,NULL,NULL,NULL,4
"#726 & #730 ANDROMEDA STREET, CORNER ONIDE ST","#726 & #730 ANDROMEDA STREET, CORNER ONIDE ST",164936,1,1,65,32437,1,20191231,297850.00,0,0.00,0,0,0,0,0,"ANDROMEDA, ESQ ONIDE","",0,"",0.00,"",0.00,18.37062,-66.03585," 115-005-784-09-000 / 115-005-784-10-000","","","","","","","","","PUBLISHED",NULL,NULL,NULL,NULL,"RAD-1588","",4444441,"",NULL,"REPOSUBASTA NOVIEMBRE 23,2019","Oriéntese accesando reposubasta.com y/o llamar a Sra. Gini Pérez al (787) 418-3100","","",NULL,NULL,NULL,NULL,NULL,1
"MAR AZUL CONDOMINUM, APT. #2B-N ","MAR AZUL CONDOMINUM, APT. #2B-N ",164935,47,1,2,32437,1,20191231,352544.00,0,0.00,0,0,0,0,0,"","",0,"",0.00,"",0.00,"","","","","","","","","","","","PUBLISHED",NULL,NULL,NULL,NULL,"RAD-001","",4444031,"",NULL,"REPOSUBASTA NOVIEMBRE 23,2019","Oriéntese accesando reposubasta.com y/o llamar a Sra. Gini Pérez al (787) 418-3100\\","","",NULL,NULL,NULL,NULL,NULL,5
"CONDOMINIO COSTA MAR PH-A NUM 1 CALLE INGA","CONDOMINIO COSTA MAR PH-A NUM 1 CALLE INGA",164934,47,1,65,32437,1,20191231,389000.00,0,0.00,0,0,0,0,0,"INGA","",0,"",0.00,"",0.00,18.4051561,-66.038349,"041-044-174-06-065","","","","","","","","","PUBLISHED",NULL,NULL,NULL,NULL,"CR-008","",4444924,"",NULL,"REPOSUBASTA NOVIEMBRE 23,2019","Oriéntese accesando reposubasta.com y/o llamar a Sra. Gini Pérez al (787) 418-3100","","",NULL,NULL,NULL,NULL,NULL,5
"MAR AZUL CONDOMINUM, APT. #6E-N","MAR AZUL CONDOMINUM, APT. #6E-N",164933,47,1,2,32437,1,20191231,315689.00,0,0.00,0,0,0,0,0,"","",0,"",0.00,"",0.00,"","","","","","","","","","","","PUBLISHED",NULL,NULL,NULL,NULL,"RAD-001","",4444881,"",NULL,"REPOSUBASTA NOVIEMBRE 23,2019","Oriéntese accesando reposubasta.com y/o llamar a Sra. Gini Pérez al (787) 418-3100","","",NULL,NULL,NULL,NULL,NULL,5
"#255 (P-135) LARRINAGA STREET, BALDRICH DEVEL","#255 (P-135) LARRINAGA STREET, BALDRICH DEVEL",164932,4,1,79,32437,1,20191231,345000.00,0,0.00,0,0,0,0,0,"LARRINAGA","",0,"",0.00,"",0.00,18.41084,-66.06103,"063-071-328-15-001","","","","","","","","","PUBLISHED",NULL,NULL,NULL,NULL,"RAD-1902","",4444446,"",NULL,"REPOSUBASTA NOVIEMBRE 23,2019","Oriéntese accesando reposubasta.com y/o llamar a Sra. Gini Pérez al (787) 418-3100","","",NULL,NULL,NULL,NULL,NULL,4
"BO. COTTO CARR. 113 REPARTO SAN ANTONIO (CERC","BO. COTTO CARR. 113 REPARTO SAN ANTONIO (CERC",164931,1,1,37,32437,1,20191231,400000.00,0,0.00,0,0,0,0,0,"113 (CERCA HOTEL ROYAL ISABELA)","",0,"",0.00,"",0.00,18.48457958,-66.99414106,"008-041-362-93-000","","","","","","","","","PUBLISHED",NULL,NULL,NULL,NULL,"LP-002","",4444048,"",NULL,"REPOSUBASTA NOVIEMBRE 23,2019","Oriéntese accesando reposubasta.com y/o llamar a Sra. Gini Pérez al (787) 418-3100","","",NULL,NULL,NULL,NULL,NULL,1
"1333 DAMASCO VILLA BORINQUEN, BO MONACILLOS","1333 DAMASCO VILLA BORINQUEN, BO MONACILLOS",164930,4,1,81,32437,1,20191231,308000.00,0,0.00,0,0,0,0,0,"DAMASCO","",0,"",0.00,"",0.00,18.39387608,-66.07828954," 062-076-340-13-001","","","","","","","","","PUBLISHED",NULL,NULL,NULL,NULL,"UR-011","",4445857,"",NULL,"REPOSUBASTA NOVIEMBRE 23,2019","Oriéntese accesando reposubasta.com y/o llamar a Sra. Gini Pérez al (787) 418-3100","","",NULL,NULL,NULL,NULL,NULL,4
"1075 PONCE DE LEON AVE, SANTURCE","1075 PONCE DE LEON AVE, SANTURCE",164929,33,1,85,32437,1,20191231,852000.00,0,0.00,0,0,0,0,0,"PONCE DE LEON","",0,"",0.00,"",0.00,18.45257634,-66.07667479,"040-048-066-24-901","","","","","","","","","PUBLISHED",NULL,NULL,NULL,NULL,"RAD-004","","","",NULL,"REPOSUBASTA NOVIEMBRE 23,2019","Oriéntese accesando reposubasta.com y/o llamar a Sra. Gini Pérez al (787) 418-3100","","",NULL,NULL,NULL,NULL,NULL,10
"FERNANDEZ JUNCOS, SANTURCE","FERNANDEZ JUNCOS, SANTURCE",164928,33,1,85,32437,1,20191231,675000.00,0,0.00,0,0,0,0,0,"FERNANDEZ JUNCOS","",0,"",0.00,"",0.00,18.4151033,-66.079925,"040-058-074-02-802","","","","","","","","","PUBLISHED",NULL,NULL,NULL,NULL,"TPM-005","",4444037,"",NULL,"REPOSUBASTA NOVIEMBRE 23,2019","Oriéntese accesando reposubasta.com y/o llamar a Sra. Gini Pérez al (787) 418-3100","","",NULL,NULL,NULL,NULL,NULL,10
"SECTOR TRAS TALLERES, SANTURCE","SECTOR TRAS TALLERES, SANTURCE",164927,33,1,65,32437,1,20191231,674000.00,0,0.00,0,0,0,0,0,"LAS PALMAS","",0,"",0.00,"",0.00,18.48425,-66.67865,"040-057-073-20-00","","","","","","","","","PUBLISHED",NULL,NULL,NULL,NULL,"RAD-1492","",4445319,"",NULL,"REPOSUBASTA NOVIEMBRE 23,2019","Oriéntese accesando reposubasta.com y/o llamar a Sra. Gini Pérez al (787) 418-3100","","",NULL,NULL,NULL,NULL,NULL,10
"OCEAN PARK, SANTA TERESITA","OCEAN PARK, SANTA TERESITA",164926,33,1,65,32437,1,20191231,720000.00,0,0.00,0,0,0,0,0,"ALMIRANTE","",0,"",0.00,"",0.00,18.45167786,-66.04723740,"041-043-156-20","","","","","","","","","PUBLISHED",NULL,NULL,NULL,NULL,"RAD-003","","","",NULL,"REPOSUBASTA NOVIEMBRE 23,2019","Oriéntese accesando reposubasta.com y/o llamar a Sra. Gini Pérez al (787) 418-3100","","",NULL,NULL,NULL,NULL,NULL,10
